(846.6, 96)
(848.3, 100)
(850.3, 103)
(852.1, 104)
(854.2, 104)
(856.1, 109)
(857.6, 109)
(859.4, 110)
(861.3, 114)
(863.4, 117)
(865.0, 119)
(866.9, 126)
(868.8, 125)
(870.9, 131)
(872.5, 133)
(874.3, 140)
(876.3, 145)
(878.0, 153)
(880.0, 161)
(882.2, 168)
(884.0, 177)
(885.7, 193)
(888.1, 205)
(889.9, 214)
(891.5, 233)
(893.5, 256)
(895.8, 282)
(898.0, 314)
(900.0, 348)
(901.9, 484)
(904.1, 482)
(906.4, 486)
(908.3, 490)
(910.4, 496)
(912.0, 477)
(914.0, 480)
(916.0, 479)
(917.9, 481)
(919.9, 449)
(921.5, 454)
(923.3, 325)
(925.4, 328)
(927.4, 328)
(929.1, 335)
(930.9, 372)
(933.1, 450)
(935.0, 417)
(936.8, 68)
(939.5, 66)
(941.6, 68)
(943.6, 69)
(945.4, 69)
(947.1, 71)
(949.3, 73)
(951.4, 66)
(953.3, 70)
(955.4, 72)
(957.3, 71)
(959.2, 75)
(961.5, 76)
(963.7, 78)
(965.4, 79)
(967.4, 86)
(969.4, 93)
(971.5, 92)
(973.3, 188)
(975.2, 187)
(977.1, 172)
(978.8, 174)
(981.0, 168)
(982.6, 170)
(984.3, 167)
(986.2, 167)
(988.0, 160)
(989.7, 158)
(991.5, 151)
(993.5, 149)
(995.2, 171)
(996.8, 142)
(998.6, 145)
(1000.5, 144)
(1002.2, 145)
(1003.9, 145)
(1005.8, 145)
(1007.5, 144)
(1009.5, 147)
(1011.6, 117)
(1013.5, 120)
(1015.3, 121)
(1017.3, 120)
(1019.5, 123)
(1021.4, 124)
(1023.4, 125)
(1025.5, 121)
(1027.7, 108)
(1029.8, 100)
(1031.8, 92)
(1033.7, 87)
(1035.5, 81)
(1037.7, 75)
(1042.0, 66)
(1044.0, 69)
(1046.0, 71)
(1047.9, 65)
(1049.8, 65)
(1051.7, 61)
(1053.6, 58)
(1055.6, 59)
(1057.2, 58)
(1059.2, 55)
(1061.2, 53)
(1063.2, 22)
(1066.6, 4)
(1070.9, 34)
(1073.5, 49)
(1075.7, 46)
(1077.7, 48)
(1079.8, 42)
(1082.1, 45)
(1084.1, 47)
(1086.4, 43)
(1088.4, 44)
(1090.6, 42)
(1092.5, 44)
(1094.6, 39)
(1096.6, 40)
(1098.7, 40)
(1100.7, 39)
(1103.1, 44)
(1105.0, 42)
(1107.0, 45)
(1109.0, 44)
(1110.9, 43)
(1112.9, 45)
(1114.8, 48)
(1116.7, 52)
(1118.3, 51)
(1120.1, 48)
(1122.2, 45)
(1124.0, 48)
(1125.8, 48)
